GeneNames	knockout	wt	log2fc	log2(Fold_change) normalized	z-score	p-value	q-value	q-value(Storey et al. 2003)	Signature(p-value < 0.001)
XOO3451	133	113	0.235103473	0.249338668	1.353140433	0.176010771	0.272022814	0.095618215	FALSE
XOO4475	41	30	0.450661409	0.464896604	1.349422459	0.177201311	0.273757247	0.096227883	FALSE
XOO1065	739	695	0.088561387	0.102796581	1.348942933	0.177355297	0.273889593	0.09624348	FALSE
XOO2702	439	404	0.119865647	0.134100841	1.348907665	0.177366626	0.273801618	0.09624348	FALSE
XOO3832	431	476	-0.143273704	-0.12903851	-1.346113305	0.178265978	0.275084029	0.096694257	FALSE
XOO2910	1116	1192	-0.095047209	-0.080812014	-1.345382435	0.178501764	0.275341891	0.096784898	FALSE
XOO2647	57	44	0.373458396	0.38769359	1.34473503	0.178710818	0.275558334	0.096860979	FALSE
XOO0405	109	91	0.260389685	0.274624879	1.343309665	0.179171724	0.276162799	0.097073454	FALSE
XOO0811	417	383	0.122702992	0.136938186	1.341825967	0.179652431	0.276797308	0.097296488	FALSE
XOO4114	110	92	0.257797757	0.272032952	1.337322012	0.181117549	0.278947466	0.098052286	FALSE
XOO1277	401	444	-0.14695744	-0.132722245	-1.336333497	0.181440292	0.279337224	0.09818929	FALSE
XOO3625	137	117	0.227667363	0.241902558	1.334098921	0.18217144	0.280355202	0.098547117	FALSE
XOO3317	121	144	-0.251061764	-0.23682657	-1.333640235	0.18232179	0.280478916	0.098590604	FALSE
XOO2149	58	45	0.366127899	0.380363093	1.332523186	0.182688328	0.280934985	0.098750915	FALSE
XOO1593	5475	5390	0.022573692	0.036808886	1.330749976	0.183271293	0.281723395	0.099014511	FALSE
XOO1809	238	212	0.166897309	0.181132503	1.330612635	0.183316503	0.281684883	0.099014511	FALSE
XOO2315	581	542	0.100245312	0.114480507	1.329301023	0.183748677	0.282240784	0.099209914	FALSE
XOO2160	478	525	-0.135306805	-0.12107161	-1.328260693	0.184092	0.282659835	0.099322937	FALSE
XOO0315	88	72	0.289506617	0.303741812	1.328239582	0.184098972	0.28256232	0.099322937	FALSE
XOO1530	153	132	0.212993723	0.227228918	1.327705848	0.184275301	0.282724715	0.09938002	FALSE
XOO0064	45	59	-0.390789953	-0.376554758	-1.324831287	0.185227115	0.284076322	0.099855121	FALSE
XOO0884	154	133	0.211504105	0.2257393	1.323647226	0.185620233	0.284570369	0.100028782	FALSE
XOO1410	308	345	-0.163666011	-0.149430816	-1.322409507	0.186031825	0.285092349	0.100163192	FALSE
XOO1261	145	170	-0.229481846	-0.215246652	-1.321945305	0.186186365	0.285220151	0.100163192	FALSE
XOO3709	10	5	1	1.014235195	1.32188819	0.186205386	0.285085885	0.100163192	FALSE
XOO4171	10	5	1	1.014235195	1.32188819	0.186205386	0.285085885	0.100163192	FALSE
XOO3576	3010	3144	-0.062837731	-0.048602536	-1.321829167	0.186225044	0.284952748	0.100163192	FALSE
XOO2785	126	107	0.235812937	0.250048132	1.320634103	0.186623396	0.285453336	0.100339152	FALSE
XOO0775	1299	1245	0.061255688	0.075490883	1.319718152	0.186929137	0.285811942	0.100465205	FALSE
XOO3629	355	324	0.131825212	0.146060406	1.318438885	0.187356771	0.286356575	0.100656648	FALSE
XOO1642	504	552	-0.131244533	-0.117009339	-1.317221398	0.187764423	0.286870264	0.100837214	FALSE
XOO4228	309	280	0.142180011	0.156415206	1.314890121	0.188546833	0.287955907	0.101218826	FALSE
XOO4393	888	842	0.076739443	0.090974638	1.311349292	0.189739782	0.289667474	0.101820456	FALSE
XOO1241	14	8	0.807354922	0.821590117	1.310006573	0.190193612	0.290249787	0.101968272	FALSE
XOO2208	95	115	-0.275634443	-0.261399248	-1.309873298	0.190238701	0.290208126	0.101968272	FALSE
XOO0081	14	22	-0.652076697	-0.637841502	-1.309678349	0.190304671	0.290143155	0.101968272	FALSE
XOO1532	14	22	-0.652076697	-0.637841502	-1.309678349	0.190304671	0.290143155	0.101968272	FALSE
XOO1578	1560	1650	-0.080919995	-0.066684801	-1.309458411	0.190379117	0.290091174	0.10196939	FALSE
XOO4807	77	95	-0.303069068	-0.288833873	-1.30924258	0.190452193	0.290092265	0.101969773	FALSE
XOO1055	115	137	-0.252542032	-0.238306837	-1.308615326	0.190664687	0.290250514	0.102006032	FALSE
XOO2140	115	137	-0.252542032	-0.238306837	-1.308615326	0.190664687	0.290250514	0.102006032	FALSE
XOO4157	6166	6082	0.019789073	0.034024268	1.306155348	0.191499734	0.291355763	0.102413903	FALSE
XOO4241	1344	1290	0.059162072	0.073397267	1.305635614	0.191676503	0.291514075	0.102469551	FALSE
XOO2137	2852	2782	0.035851562	0.050086757	1.303429637	0.192428124	0.292546207	0.102832354	FALSE
XOO0444	24	16	0.584962501	0.599197695	1.300071574	0.193576439	0.294180419	0.103406792	FALSE
XOO3690	1015	967	0.069891933	0.084127127	1.298027215	0.194277983	0.295134685	0.103742225	FALSE
XOO1888	177	155	0.191481145	0.205716339	1.297682406	0.194396492	0.295202855	0.103766187	FALSE
XOO2483	578	629	-0.121990524	-0.10775533	-1.296981907	0.194637412	0.295456791	0.103855448	FALSE
XOO0964	873	828	0.076350886	0.090586081	1.294757698	0.195403829	0.29650793	0.104224931	FALSE
XOO1724	2141	2078	0.043089141	0.057324336	1.290769394	0.196783654	0.298488713	0.104921192	FALSE
XOO0610	19	12	0.662965013	0.677200207	1.289777621	0.19712788	0.298784753	0.104964868	FALSE
XOO1184	19	12	0.662965013	0.677200207	1.289777621	0.19712788	0.298784753	0.104964868	FALSE
XOO1798	19	12	0.662965013	0.677200207	1.289777621	0.19712788	0.298784753	0.104964868	FALSE
XOO0976	197	174	0.179108324	0.193343518	1.289460622	0.197237998	0.298669361	0.104964868	FALSE
XOO1246	197	174	0.179108324	0.193343518	1.289460622	0.197237998	0.298669361	0.104964868	FALSE
XOO4000	648	702	-0.115477217	-0.101242023	-1.288824605	0.19745907	0.29883481	0.105042849	FALSE
XOO1193	55	70	-0.347923303	-0.333688109	-1.288317394	0.197635501	0.298988952	0.105097031	FALSE
XOO4262	41	54	-0.397335498	-0.383100303	-1.288020947	0.197738671	0.299032189	0.105112229	FALSE
XOO1677	350	320	0.129283017	0.143518212	1.286901775	0.198128527	0.299508772	0.105279752	FALSE
XOO4768	29	40	-0.4639471	-0.449711905	-1.286364665	0.198315824	0.299678907	0.105339555	FALSE
XOO0492	72	58	0.311944006	0.326179201	1.285178656	0.198729861	0.300191413	0.105519705	FALSE
XOO1447	1046	998	0.067771131	0.082006326	1.284959516	0.198806431	0.300193967	0.105520603	FALSE
XOO2745	19	28	-0.559427409	-0.545192214	-1.283341063	0.199372612	0.300935543	0.105773095	FALSE
XOO3531	1900	1840	0.046293652	0.060528847	1.283170758	0.199432258	0.300912278	0.105773095	FALSE
XOO2673	218	194	0.168271483	0.182506677	1.28283023	0.199551561	0.300979009	0.105796552	FALSE
